127.0.0.1 - - [09/Mar/2017:10:27:10 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:27:59 +0530] "GET /savvydude/ HTTP/1.1" 200 14704
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/cr1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/cr2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/cr3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:03 +0530] "GET /savvydude/Resources/images/p1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/p2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/p4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/p6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/p8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/p9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/pp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/pp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:04 +0530] "GET /savvydude/Resources/images/pp3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:32 +0530] "GET /savvydude/ HTTP/1.1" 200 14704
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:36 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:36 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:36 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:39 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:39 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:40 +0530] "GET /savvydude/Resources/images/cr1.jpg HTTP/1.1" 200 16148
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:40 +0530] "GET /savvydude/Resources/images/cr2.jpg HTTP/1.1" 200 60369
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:40 +0530] "GET /savvydude/Resources/images/cr3.jpg HTTP/1.1" 200 32779
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:40 +0530] "GET /savvydude/Resources/images/p1.jpg HTTP/1.1" 200 21032
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:41 +0530] "GET /savvydude/Resources/images/p2.jpg HTTP/1.1" 200 27309
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:41 +0530] "GET /savvydude/Resources/images/p4.jpg HTTP/1.1" 200 34084
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:41 +0530] "GET /savvydude/Resources/images/p6.jpg HTTP/1.1" 200 51237
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:41 +0530] "GET /savvydude/Resources/images/p8.jpg HTTP/1.1" 200 62528
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:42 +0530] "GET /savvydude/Resources/images/pp2.jpg HTTP/1.1" 200 23165
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:42 +0530] "GET /savvydude/Resources/images/pp3.jpg HTTP/1.1" 200 31720
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:42 +0530] "GET /savvydude/Resources/images/pp1.jpg HTTP/1.1" 200 136538
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:42 +0530] "GET /savvydude/Resources/images/p9.png HTTP/1.1" 200 217515
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:28:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:03 +0530] "GET /savvydude/register HTTP/1.1" 200 19650
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:03 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:03 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:03 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:04 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:04 +0530] "GET /savvydude/Resources/images/register_here.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/home HTTP/1.1" 200 14704
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/images/cr1.jpg HTTP/1.1" 200 16148
0:0:0:0:0:0:0:1 - - [09/Mar/2017:10:29:12 +0530] "GET /savvydude/Resources/images/cr2.jpg HTTP/1.1" 200 60369
