127.0.0.1 - - [07/Mar/2017:11:49:13 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:27 +0530] "GET /savvydude/ HTTP/1.1" 200 14593
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/cr2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/cr1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/cr3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/p9.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/pp1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/pp2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/images/pp3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:49:28 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:50:14 +0530] "GET /savvydude/ HTTP/1.1" 200 14593
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:50:14 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [07/Mar/2017:11:50:14 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 200 2265
