0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:21 +0530] "GET /savvydude/login HTTP/1.1" 200 16116
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:21 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:21 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:21 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:21 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "POST /savvydude/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/home HTTP/1.1" 200 15545
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/css/footer.css HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/css/index.css HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/cr1.jpg HTTP/1.1" 200 16148
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/cr2.jpg HTTP/1.1" 200 60369
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/cr3.jpg HTTP/1.1" 200 32779
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p1.jpg HTTP/1.1" 200 21032
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p2.jpg HTTP/1.1" 200 27309
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p4.jpg HTTP/1.1" 200 34084
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p6.jpg HTTP/1.1" 200 51237
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p8.jpg HTTP/1.1" 200 62528
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/p9.png HTTP/1.1" 200 217515
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/pp1.jpg HTTP/1.1" 200 136538
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/pp2.jpg HTTP/1.1" 200 23165
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:24 +0530] "GET /savvydude/Resources/images/pp3.jpg HTTP/1.1" 200 31720
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/getCartId HTTP/1.1" 200 14607
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/Resources/css/header.css HTTP/1.1" 200 1111
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/Resources/js/controller.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/Resources/images/logo.png HTTP/1.1" 200 10680
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/Resources/images/banner2.png HTTP/1.1" 200 62135
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/Resources/images/%7B%7BcartItem.product.pId%20%7D%7D.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:33 +0530] "GET /savvydude/cart/Resources/images/%7B%7BcartItem.product.pId%20%7D%7D.png HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:34 +0530] "GET /savvydude/cart/getCart/2 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:34 +0530] "GET /savvydude/cart/Resources/images/11.png HTTP/1.1" 200 235364
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:34 +0530] "GET /savvydude/cart/Resources/images/12.png HTTP/1.1" 200 38399
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:40 +0530] "PUT /savvydude/cart/removeCartItem/8 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:40 +0530] "GET /savvydude/cart/getCart/2 HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:41 +0530] "GET /savvydude/cart/Resources/images/12.png HTTP/1.1" 200 38399
0:0:0:0:0:0:0:1 - - [20/Mar/2017:09:55:41 +0530] "GET /savvydude/cart/Resources/images/11.png HTTP/1.1" 200 235364
